Supplier,VAT Exclusive,VAT,Zimasa VAT Inclusive,Date
Road Lodge Pietermaritzburg (Rdz),,162.39,1245.0,2023-11-01
S A Airways (083),,1950.9,14956.9,2023-11-01
Seasons Leisure Golf Spa (Slg),,2854.86,21887.2,2023-11-01
Seokobale Guesthouse (Skg),,391.3,3000.0,2023-11-01
Singapore Airlines (618),,0.0,120204.0,2023-11-01
Somerset Bencoolen Singapore (Sbs),,0.0,54312.0,2023-11-01
Southern Sun,,709.7,5441.0,2023-11-01
Stayeasy Rustenburg (Str),,437.59,3354.84,2023-11-01
Sundown Country Estate (Sce),,3845.22,29480.0,2023-11-01
The Capital,,939.13,7200.0,2023-11-01
The Royal Marang Hotel (Trm),,1786.17,13694.0,2023-11-01
Three Oaks And An Aloe Boutique Hotel (Toh),,490.43,3760.0,2023-11-01
Tlmz Guest House (Tmz),,864.0,6624.0,2023-11-01
Town Lodge,,933.91,7160.0,2023-11-01
Wink Quivertree Aparthotel (Wqa),,2748.13,21069.0,2023-11-01
Anew Hotel,,1137.59,8721.52,2023-12-01
Anta Boga Hotel (Abh),,747.4,5730.0,2023-12-01
Avis Or Tambo (Avo),,1017.78,7803.0,2023-12-01
Be@Home,,150.0,1150.0,2023-12-01
Bokamoso Farm Stay (Bfs),,0.0,0.0,2023-12-01
City Lodge Hotel,,832.57,6383.0,2023-12-01
Cu Guest House (Cug),,7888.71,60480.0,2023-12-01
Fly Safair (640),,1215.48,9318.72,2023-12-01
Garden Court,,210.0,1610.0,2023-12-01
Garden Court,,1685.22,12920.0,2023-12-01
Hertz King Shaka Durban (Hks),,0.0,4114.08,2023-12-01
Hertz Or Tambo Or Tambo (Htz),,1095.65,8400.0,2023-12-01
Hertz Rent A Car  Mahikeng Mahikeng (Hrm),,276.01,2116.11,2023-12-01
Hilton,,1170.0,8970.0,2023-12-01
K&B Guesthouse (Kng),,12052.18,92400.0,2023-12-01
Kenzo Guest House (Kgh),,0.0,0.0,2023-12-01
Kings Guest House (Kig),,430.43,3300.0,2023-12-01
Letsatsing Lodge (Lel),,215.22,1650.0,2023-12-01
Lily Park Lodge (Lpl),,6586.95,50500.0,2023-12-01
Safari Lodge,,1432.17,10980.0,2023-12-01
Ndaba Guest Lodge (Ndl),,391.3,3000.0,2023-12-01
Nwu Sports Village (Sv),,331.3,2540.0,2023-12-01
Peermont Walmont Hotel At Graceland (Pwg),,16986.91,130233.0,2023-12-01
Premier Hotel O.R. Tambo (Pho),,1223.48,9380.0,2023-12-01
Protea By Marriott,,777.2,5958.5,2023-12-01
Protea By Marriott,,10539.13,80800.0,2023-12-01
Protea Hotel By Marriot Klerksdorp (Pkk),,223.05,1710.0,2023-12-01
Sonskyn Hof Guest House (Shg),,615.65,4720.0,2023-12-01
Southern Sun,,1311.66,10056.05,2023-12-01
Stayeasy Rustenburg (Str),,210.0,1610.0,2023-12-01
Sun City,,1065.27,8167.15,2023-12-01
Sundown Country Estate (Sce),,486.26,3728.0,2023-12-01
The Capital,,221.74,1700.0,2023-12-01
The Capital,,1286.09,9860.0,2023-12-01
The Kingdom Resort (Tkr),,766.96,5880.0,2023-12-01
Tlmz Guest House (Tmz),,576.0,4416.0,2023-12-01
Tuscany Hill Manor (Thm),,7982.61,61200.0,2023-12-01
Villa Maria Guest Lodge (Vmg),,984.13,7544.98,2023-12-01
Anew Hotel,,890.19,6824.82,2024-01-01
Anta Boga Hotel (Abh),,213.91,1640.0,2024-01-01
Avis Or Tambo (Avo),,1217.66,9335.39,2024-01-01
Be@Home,,600.0,4600.0,2024-01-01
City Lodge Hotel,,1611.52,12355.0,2024-01-01
City Lodge Hotel,,3464.35,26560.0,2024-01-01
City Lodge Hotel,,1137.39,8720.0,2024-01-01
Emirates Airline (176),,12374.09,94868.0,2024-01-01
Fly Safair (640),,1176.95,9023.25,2024-01-01
Hertz Rent A Car - Cape Town International Airport (Hrc),,150.91,1157.0,2024-01-01
K&B Guesthouse (Kng),,9469.57,72600.0,2024-01-01
Lion'S Rest Guest House (Lir),,7304.35,56000.0,2024-01-01
Marang Gardens Lodge (Mgl),,1158.26,8880.0,2024-01-01
Mcathama Shuttle & Tours (Mct),,2233.04,17120.0,2024-01-01
Oak Park And Conference Centre (Okp),,203.48,1560.0,2024-01-01
Orion Safari,,2942.61,22560.0,2024-01-01
Protea By Marriott,,2267.27,17382.4,2024-01-01
Protea By Marriott,,1154.35,8850.0,2024-01-01
Protea By Marriott,,197.59,1514.85,2024-01-01
Protea Hotel By Marriot Klerksdorp (Pkk),,997.83,7650.0,2024-01-01
"Rufaro Hotel, Conference & Spa (Rcs)",,1702.17,13050.0,2024-01-01
S A Airways (083),,652.63,5003.56,2024-01-01
Sandton Lodge Rivonia (Slr),,453.91,3480.0,2024-01-01
Sefapane Lodge & Safaris (Sls),,436.96,3350.0,2024-01-01
Stayeasy Cape Town (St),,2896.94,22209.88,2024-01-01
Stayeasy Rustenburg (Str),,2134.82,16366.95,2024-01-01
Sundown Country Estate (Sce),,2136.52,16380.0,2024-01-01
The Capital,,592.17,4540.0,2024-01-01
The Royal Marang Hotel (Trm),,790.96,6064.0,2024-01-01
Three Oaks And An Aloe Boutique Hotel (Toh),,920.87,7060.0,2024-01-01
Treefern Guesthouse With Spa (Tfg),,2034.78,15600.0,2024-01-01
42 Upon Williams Guesthouse (42W),,313.04,2400.0,2024-02-01
Anew Green Point Cape Town (An),,1287.39,9870.0,2024-02-01
Anew Hotel,,1995.66,15300.0,2024-02-01
Avis Rent A Car - Cape Town International Airport (Avi),,71.74,550.0,2024-02-01
Be@Home,,150.0,1150.0,2024-02-01
Casa Grand Bb (Cgd),,319.57,2450.0,2024-02-01
Cashan Bnb (Cbb),,508.7,3900.0,2024-02-01
City Lodge Hotel,,1142.61,8760.0,2024-02-01
Evander Guest House (Egh),,2664.78,20430.0,2024-02-01
Garden Court,,420.0,3220.0,2024-02-01
K&B Guesthouse (Kng),,6026.09,46200.0,2024-02-01
Kassaboera Lodge (Kl),,1695.66,13000.0,2024-02-01
Kenzo Guest House (Kgh),,2080.43,15950.0,2024-02-01
Kriel Bed & Breakfast (Krl),,978.26,7500.0,2024-02-01
